レース数,的中数,的中率,平均買い目数,投資額,払戻額,回収率,条件
320,55,17.19,8.46,270600,321990,118.99,4号艇×まくり補正20以上
234,18,7.69,6.0,140400,165150,117.63,5号艇×まくり補正10以上
122,9,7.38,6.0,73200,84200,115.03,5号艇×まくり補正20以上
425,134,31.53,11.41,484800,486770,100.41,1号艇×まくり補正10以上
349,78,22.35,15.14,528400,524490,99.26,3号艇×まくり補正10未満
623,96,15.41,8.34,519600,477020,91.81,4号艇×まくり補正10以上
1408,250,17.76,8.02,1129200,1025290,90.8,4号艇×まくり補正10未満
1036,86,8.3,6.0,621600,520700,83.77,5号艇×まくり補正10未満
2536,798,31.47,9.04,2291600,1851830,80.81,1号艇×まくり補正10未満
213,62,29.11,12.08,257200,207110,80.52,1号艇×まくり補正20以上
89,15,16.85,15.19,135200,82540,61.05,3号艇×まくり補正20以上
164,22,13.41,15.0,246000,133770,54.38,3号艇×まくり補正10以上
